0,1,1,0,0,45,37,0,3,27,4,12,20,15,19,21,39,22,32,25,
1,1,1,0,0,18,11,28,17,13,18,77,4,16,33,16,13,8,7,10,
1,0,1,0,1,42,24,10,53,11,20,17,24,34,9,24,26,54,27,6,
0,1,1,0,0,37,10,7,26,38,29,10,15,22,39,13,7,4,40,43,
0,1,2,0,0,41,31,6,54,26,45,43,3,27,48,27,21,49,49,25,
1,0,1,1,0,55,37,18,3,4,25,51,8,8,20,38,15,6,0,5,
0,1,1,0,0,43,30,15,20,33,20,50,11,3,3,13,39,18,19,15,
0,0,0,0,2,52,27,38,37,42,9,50,15,2,42,57,19,54,61,48,
1,0,0,1,0,25,13,25,27,27,24,37,25,15,3,15,12,32,14,7,
0,0,1,0,1,8,9,28,33,0,29,12,23,22,23,44,40,43,14,32,
0,1,1,0,0,9,50,44,25,38,12,39,23,9,14,32,2,43,11,19,
0,0,1,0,1,20,8,11,9,31,29,25,7,10,9,33,68,34,18,4,
1,0,0,2,1,35,27,37,28,36,6,19,15,0,6,4,17,44,49,40,
0,2,1,0,0,54,39,21,26,15,25,7,30,49,58,45,13,23,25,15,
1,0,0,1,1,32,4,2,48,29,1,21,11,8,31,57,36,46,44,24,
0,0,0,1,0,33,9,12,32,16,32,26,4,39,30,35,15,18,11,41,
0,1,1,0,0,40,20,14,9,6,5,21,21,35,40,12,1,17,41,13,
0,1,1,0,0,25,26,40,28,35,27,25,28,10,35,22,19,9,28,35,
0,1,0,0,0,27,41,44,27,17,35,39,33,11,13,7,6,2,47,20,
0,1,2,0,0,54,29,20,28,41,44,49,0,43,60,42,43,58,55,40,
0,0,1,0,0,15,11,31,36,7,29,8,20,16,33,23,33,45,42,29,
0,1,2,0,0,2,2,2,43,30,28,31,24,19,49,48,23,17,19,42,
0,0,1,0,0,8,11,29,30,9,4,44,15,51,31,17,21,52,18,46,
0,1,1,0,0,43,22,8,46,15,10,7,7,8,27,28,21,14,35,22,
1,1,0,1,0,46,23,3,27,45,19,18,37,0,21,23,35,30,41,17,
1,0,1,0,1,27,3,8,15,19,16,13,42,39,44,14,20,40,21,24,
0,1,1,0,0,8,9,1,23,6,6,27,5,66,13,13,1,43,13,18,
0,0,1,0,0,29,34,4,5,40,25,56,92,35,3,28,16,11,17,13,
1,1,0,2,0,20,13,18,30,38,17,25,3,16,32,29,35,42,33,35,
